name,is_company,child_ids,user_id,street,zip,FAX,phone,email,comment,property_payment_term,
ALFONSOROASANCHEZ,1,Sr.Alfonso,Eder,"c,AlfonsoXII,653-1?N",8918,,,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
ALPEMecanizadosS.L,1,SR.JoseVila,Ander,"C,Olasope6Pab.66-2",20870,,943743628,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"AltechMould,S.L.",1,"AdrianConal,LoreaAzkona",Vanesa,"IGORREKOINDUSTRIALDEA
c,Industrialdea,PabellonF-6",48140,946315563,946311711,adrian.conal@altechmould.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"AMES,S.A.",1,,IMS,Ctra.LaureaMiron?388,8980,936854488,936855111,sales@ames.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
ANDIA.S.A.L.ConstruccionesElectricas,1,Sr.JosebaSolaegiOrdorika,Vanesa,"B?.Arane,1",48300,946255522,946250405,ingenieria@ce-andia.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"ANTONINOMecanizados,S.L.",1,Sr.IgorGonzalez-Txabarri,Ander,"Pol.Ind.Tejeria,Pab5",20749,943148345,943148105,mantonino@euskalnet.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"APLIND,SuministrosIndustriales.",1,Sr.JoseFerreroHerrero,Eder,"c,PicosdeEuropa,9Bajo",39300,942804855,942083949,aplind@aplind.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"ARAMecanicas,S.A",1,Sr.JoseIgnacioRojo,Vanesa,"DerioBidea,55",48100,946744365,946741050,nr@araelectromecanica.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"ARALUCE,S.A.",1,"Sr.Intxaurbe***,Sr.MiguelSierra,Alicia",Vanesa,"BarrioSanJuan,13",48140,946305907,946305900,mintxaurbe@araluce.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"AraniaTalleres,S.L.",1,FernandoVegasZelaya,Ander,Pol.Ind.Isasia.ParcelaG-n?5,31800,948567330,948563568,talleresarania@infonegocio.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"ARATZTalleres,S.A.",1,"Sr.IkerArroniz,Sr.JavierBalsategui",Vanesa,"Pol.Ind.Gamarra.C,Barratxi,37",1013,945289046,945122200,aratz@sea.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
ARAUCAS.L.,1,,Ander,"C,Idiakez(CasaMuno35)",20720,943,943,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"ARRECHETalleres,S.A",1,"Sr.Arkaitzlacalle,Nekane",Ander,"c,PadreLarramendi,32",20400,943672407,943674799,comercial@arreche.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"ARRIETAMEKANIKA,S.L",1,Sr.JoseRamonArrietaLarreategui,Vanesa,Pol.Ind.Otaola.Apdo.54,48270,946169093,946169092,arrietamekanika@telefonica.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"ARROYOSS.Industriales,S.A.",1,"Sr.Joaquin,Luis,Laura,Victoria",Arroyos,"c,Escornalbou,39",8041,934330121,934559407,arroyos@arroyos.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
AsierDiazBarriobero,1,AsierDiaz,Ander,"Aitzuri,18-3?A",20750,,943206809,ritximore@hotmail.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"AURRENAK,S.Coop.",1,"Sr.JavierBeltran,Manuela,Sr.InigoVelasco",Vanesa,"Vitorialanda,15(Ali-Gobeo)",1010,945246912,945244850,javierb@aurrenak.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
AUXITECS.L.,1,Sr.JonIrizarIntxausti,Vanesa,"Pol.IndJundiz,Pauleta23",1015,945290451,945290006,auxitec@auxitecnica.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"AUXMAT,S.L.",1,"Sr.Unai,Sta.Ainara",Vanesa,"BizkaiaKalea,2Pol.Ind.Elotxelerri",48180,944533853,944533052,auxmat@clientes.esuskaltel.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
AXPEMecanizados,1,"Sr.XabierAxpe,Sta.Nerea,Mikel",Ander,"BergarakoInd.c,Telleria19P-B6",20570,943109775,943765802,info@mecanizadosaxpe.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"Azol-GasMecanizados,S.L.",1,"Sr.LuisAlonso,Sr.Juan,Idoia,Cristina",Vanesa,"C,Arriurdina1Pol.Ind.Jundiz",1015,945291891,945291890,lalonso@azolgas.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
Bazkidek,1,Sr.Txomin,Vanesa,"Ibarra,12-n?37",48300,946251853,946250432,comercial@bazkidek.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"BediaCaldereria,S.A.L.",1,Sr.AlbertoMaguregiZabala,Vanesa,"BarrioMurtaza,3",48390,946314338,946313821,c.bedia@teleline.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"BEITroqueles,S.L.",1,"Sr.BenitoMartinezPerez,IbaiMartinez",Vanesa,Pol.Ind.GoitondoGoikoan?7-Pab.11,48260,943171627,943171627,troquelesbei@troquelesbei.e.telefonica.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"BerangaMecanizados,S.L.L.",1,"Sr.JuanJoseMunoz,Sta.Pilar",Vanesa,Pol.Ind.SanSebastianNaven?10,39739,942635336,942635288,Eder@mecanizadosberanga.com,pilar@mecanizadosberanga.com,30 días netos,
"BERGARAMecanizados,S.L.",1,"Sr.Leo,Sr.Santos",Ander,"c,Amillaga,21",20570,943760082,943760344,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"BIATROKELAK,S.A.L.",1,"Sr.JoseRamon,Sta.Esther",Ander,"Pol.Ind.Pagatza,2-D",20690,943788045,943788044,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"BICIberia,S.A.",1,Sr.JuanCalero,Esloan,"Pol.Ind.Entreviass,n",43006,,977556154,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"BIKOLMA,S.L.",1,,Vanesa,Pol.Ind.UAI-3-BarrioMallabiena,48215,9462018,946200191,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
BIOMETSpain,1,"Ismael,MarioPoveda,J.AntonioManso,DiegoMar",Eder,"Pol.Ind.FuentedelJarro.
C,IslasBaleares,50-Box.96",46988,961379510,961379500,ismael.bulls@biomet.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"BITROK,S.L.L.",1,Sr.FernandoPerea,Vanesa,"BerreteagaBidea,19-Pabellon3",48180,944711484,944531709,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"BLASER,MoldesyTroqueles,S.L.",1,,Ander,"Ctra.Pamplona-Echauri,s,n",31170,,948322400,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
BruyRubioS.L.,1,"PacoNarvaez,Silvia,AntonioRamirez***",Bru  y  Rubio,"C,Huelva,19-Pol.ind.AlfaçII",3440,965550365,965553199-91,Comercial@bruyrubio.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"BTI,BiotechnologyInstitute,S.L.",1,"Sr.PedroCruz,UrkoLopez*****",Vanesa,"ParqueTenologicodeAlava.C,LeonardodaVinci14B",15010,945297031,945297030,urko.lopez@bti-implant.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
C.C.CarrefourS.A.,1,Sr.DiegoNunez,Eder,"ParqueEmpresarialLaMarina-Edif.SigloXXI-C,IslaHierron?5-2?planta",28700,944530285,944712409,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
C.M.E.,1,Sr.RicardoGarate,Vanesa,,,,,r.garate@cmemach.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
C.P.T.GMBH,1,Sr.AviCohen,Eder,MittlererPFAD4-2,70499,,,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"CampalansMecanicPrecision,S.A.",1,Sr.PereCerqueda,IMS,"c,Progres,s,n",8191,936971155,936998711,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
CarlosPerezPerez,1,CarlosPerezPerez,Carlos,"c,Albatros,9.URBANIZACIONOASIS",28260,,918584681,carperper08@telefonica.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"CASMANSuministrosIndustriales,S.C.L.",1,"Sr.JoseLuisAndres,Luis,Paqui",Casman,"Pol.Ind.CampollanoC,Gn?5",2080,967241129,967241130,casmansuministros@gmail.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
CEDREGSA,1,"Sr.CarmineLiberatore,Sr.Roberto",Eder,"Pol.Ind.Finanzauto-C,Estano,1-7",28500,918700333,918713567,carmine@cedregsa.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"CelticadeMantenimientoyControl,S.L.",1,"Sr.ManuelPino,JaimeMoscoso,Viki,Ana",Celtica,"c,TomasParedes,1-Bajo",36208,986239122,986238343,xaime.mm@gmail.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
CesarBarcena,1,CesarBarcena,Cesar,"c,Lube,5-5?B",48903,,946558210,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"CISASNavarro,MoldesyMatrices.",1,Sr.Kiko,Esloan,"c,Fuster,40",43800,977609820,,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
COMAHER,1,Sr.SantiagoLopezdeArmentia,Eder,"C,Bekolarra,4",1010,945228883,945242400,santi@comaher.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"ComercialXAMER,S.L.",1,Sr.JavierFernandez,Xamer,"c,Sarries,s,n",31014,948124366,948129039,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"COMLANBER,S.A.",1,Sr.VicenteEscobar,Vanesa,"Zubiaurre,5",48250,946827999,946225036,lanber@euskalnet.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"Copreci,S.Coop.",1,"Roldan,JaimeGomez**,InakiAyastu,AsierAgirre**",Ander,"Avda.dealava,3",20550,943792349,943719499,aagirre@copreci.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"CREATECHMEDICAL,S.L.",1,"Sr.Mikel*****,Sr.Asier**,Olatz",Eder,Pol.Ind.Kurutz-Gain.Pab3B,20850,943755041,943757172,mgomez@createchmedical.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
CubiertosDalia,1,RafaMoreno,Vanesa,"C,Aldape,7",48300,946259116,946259100,info@cubiertos-dalia.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"CUPRUM,S.A.",1,Sr.GautierRebollo,Vanesa,Pol.Ind.ElCampillo.Pab11D-12D,48500,946360133,946360128,info@cuprum.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
CURVANORTE.S.L.,1,"Sr.FranciscoLezaunCastillo,Maria",Ander,Pol.Ind.Mendikur.Pab-20,31160,948321421,948343235,fran@curvanorte.e.telefonica.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
DECOMESA.DecoletadosyMecanizadosS.A.,1,Sr.PedroMariaRecalde,Vanesa,Pol.Ind.Goitondo,48269,943174353,943174304-08,comercial@decomesa.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"DELCAAlmacenes,S.A.",1,"Sr.GonzaloGonzalez,JoseRamon",Delca,"c,TeodoroCuesta,2",33207,985352440,985176111,delca@almacenesdelca.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"DELVAL,S.A.",1,"Sr.Secudino,MariSol",Vanesa,"Avda.deBilbao,118",39300,942893658,942890349,rdelval@rdelval.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
DHLExpress,1,Sr.JoseRobertoVazquez,Eder,,,,,joseroberto.vazquez@dhl.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"DIEXGA,S.L.",1,Sr.RamonLores,Eder,"c)Pereiro,10",36210,986211496,986235195,diexga@breogan.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"DIKAR,S.Coop",1,"Alberto,JoseLuis,Sr.Roberto,IVAN****",Eder,"UrarteKalea,26P.I.SanLorenzo",20570,943760814,943765548,ivan@dikar.es,roberto@dikar.es,30 días netos,
Dise?oLOGO2S.L.,1,Sr.FranciscoCastro,Eder,"VicenteAlonsoPerez,2B",3204,965446039,965445572,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"DISMAHER,S.L.",1,Sr.HerminioIglesiasAstorga,Dismaher,"Leceaga,6",48002,944270780,944275280,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
Dismodel,1,"Sr.JesusCerrillo,Sr.JavierGarcia****",Vanesa,"B?Larragoiti,s,n",48600,946763956,946763512,compras@dismodel.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"DISSIN,Dise?osIndustrialesSCCL",1,Sr.JoseAntonio(Esloan),Antonio Lopez,"Pol.Ind.Tosses2.C,Amsterdam,Par-35",43870,977708069,977708069,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"DOIKI,S.Coop.",1,"JavierVesga,AxierDiazdeGereno,Leyre",Vanesa,"Pol.Ind.Goitondo,5",48260,943174273,943179050,jilarra@doiki.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
DOILAN-TEGIAS.Coop.,1,Sr.EmilioTxurrukaUriarte,Ander,Pol.Ind.Intxausti.Pab.14I,20215,943802010,943801243,doilan@doilan.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
ECRIMESA,1,"Sr.JoseAntonioVargas,Oscar***,Loly",Vanesa,"Avda.deParayas,s,n",39080,942346549,942334511,ecrimesa@ecrimesa.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"EDERKI,S.L.",1,"Sr.MiguelAngel,JoseAngel",Ander,"C,Azpikoetxe,s,n",20230,943731411,943731411,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
EDERLANFAGORMCC,1,"Sr.SantiGarcia,Sr.AitorAspe",Ander,"B?Uribarri,6",20500,943719008,943719000,a.axpe@fagorederlan.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"EDURKON,S.L.",1,"GorkaEtxebarria,Arkaitz,Galder****",Vanesa,"TXORIERRI,46,Pabellon8E",48150,944710402,944711404,gorka@edurkon.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"EIKA,S.Coop.",1,Sr.JesusBereziartua,Vanesa,"Ctra.EtxebarriaaEibars,n",,,946167732,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
EKIMENmecanizadosS.L,1,"Sr.PatxiSegurola,Sta.Lore",Ander,P.Ind.JoxeMariKortaparcelaA-6-1,20750,943865279,943865288,ekimen@ekimen.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"ELAY,S.L.",1,"Bixente***,Nogales,AitorIbarra,Mikel,Unai***",Ander,"LizarragakoHiribideaZ,g",20577,943766262,943766100,fernando@elay.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"ElgezabalTalleres,S.L.",1,"Sta.Amaia***,Sr.Josu*****",Vanesa,"B?Trobika-MartintxoneBidea,13Apto126",48100,946744586,946741275,tde@euskalnet.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
EMECANMecanizados,1,"Sr.JoseLuisCanales,JoseLuisFernandez****",Vanesa,ZonaIndustrialLaAlbericia3-4,39012,942344125,942347799,emecan@emecan.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"EREDU,S.A.",1,"FelisindoCidMartinez****,Sofia,Ainoa,Davinia",Vanesa,Pol.Ind.Ugarte.Parcela3B,48110,946743233,946745002,tecnica@eredu.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
ESLOANSuministrosIndustrialesS.L.,1,Sr.AntonioLopez,Antonio Lopez,"Avda.Cataluna,5",43514,977739069,977739061,lopezesquerre.toni@gmail.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
EUSKOCAMSYSTEMS.L,1,GaizkaAranzabal,Vanesa,"C,OidorBerriozabalbeitia,Pab.N?5",48230,946231754,946231754,euskocam@euskalnet.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"EUSKRON,S.A.",1,Sr.AvelinoGarcia,Eder,"Pol.Ind.Eleseder,4",31876,948510807,948510634,euskron@euskron.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"FAMECOMetalicas,S.L.",1,,Antonio Lopez,"Ctra.Ulldecona1169,Izda.NaveKm.2",43560,977575117,977570719,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
FAYMESA,1,Sr.JavierMoranCabrero,Vanesa,Pol.Ind.DeGuarnizo.Parcela83A,39611,942559141,942559544,faymesa@mundivia.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
FEM-EDER,1,Sr.Nebreda***,Vanesa,"Ctra.SanVicente,7",48510,944921552,944921858,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"FILIPMecanizados,S.L.",1,Sr.Javi,Vanesa,"C,Obezar,2",1138,945464143,945464143,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
FORJASDEIRAETAHEAVYINDUSTRYS.L.U,1,"Sr.IbonLasa,JuanluislasaLanda",Ander,"B?Chiriboga,s,n",20740,943148059,943147645,ibon@forjasdeiraeta.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"FORJASDEBERRIZ,S.L.",1,"Sr.UnaiAzueta***,KoldoIturriagaetxebarria",Vanesa,"Iturriza,22",48240,946826521,946826520,tecnica@forjasdeberriz.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"FranceTelecomEspa?a,S.A.",1,,Eder,"ParqueEmpresarialLaFinca.
P?delClubDeportivo,1-Edificio8",28223,,,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
