name,is_company,child_ids,user_id,street,zip,FAX,phone,email,comment,,,
"BIKOLMA,S.L.",1,,Vanesa,Pol.Ind.UAI-3-BarrioMallabiena,48215,9462018,946200191,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
BIOMETSpain,1,"Ismael,MarioPoveda,J.AntonioManso,DiegoMar",Eder,"Pol.Ind.FuentedelJarro.
C,IslasBaleares,50-Box.96",46988,961379510,961379500,ismael.bulls@biomet.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"BITROK,S.L.L.",1,Sr.FernandoPerea,Vanesa,"BerreteagaBidea,19-Pabellon3",48180,944711484,944531709,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"BLASER,MoldesyTroqueles,S.L.",1,,Ander,"Ctra.Pamplona-Echauri,s,n",31170,,948322400,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
BruyRubioS.L.,1,"PacoNarvaez,Silvia,AntonioRamirez***",Bru  y  Rubio,"C,Huelva,19-Pol.ind.AlfaçII",3440,965550365,965553199-91,Comercial@bruyrubio.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia","Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,
"BTI,BiotechnologyInstitute,S.L.",1,"Sr.PedroCruz,UrkoLopez*****",Vanesa,"ParqueTenologicodeAlava.C,LeonardodaVinci14B",15010,945297031,945297030,urko.lopez@bti-implant.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
C.C.CarrefourS.A.,1,Sr.DiegoNunez,Eder,"ParqueEmpresarialLaMarina-Edif.SigloXXI-C,IslaHierron?5-2?planta",28700,944530285,944712409,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
C.M.E.,1,Sr.RicardoGarate,Vanesa,,,,,r.garate@cmemach.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
C.P.T.GMBH,1,Sr.AviCohen,Eder,MittlererPFAD4-2,70499,,,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"CampalansMecanicPrecision,S.A.",1,Sr.PereCerqueda,IMS,"c,Progres,s,n",8191,936971155,936998711,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
CarlosPerezPerez,1,CarlosPerezPerez,Carlos,"c,Albatros,9.URBANIZACIONOASIS",28260,,918584681,carperper08@telefonica.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"CASMANSuministrosIndustriales,S.C.L.",1,"Sr.JoseLuisAndres,Luis,Paqui",Casman,"Pol.Ind.CampollanoC,Gn?5",2080,967241129,967241130,casmansuministros@gmail.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
CEDREGSA,1,"Sr.CarmineLiberatore,Sr.Roberto",Eder,"Pol.Ind.Finanzauto-C,Estano,1-7",28500,918700333,918713567,carmine@cedregsa.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"CelticadeMantenimientoyControl,S.L.",1,"Sr.ManuelPino,JaimeMoscoso,Viki,Ana",Celtica,"c,TomasParedes,1-Bajo",36208,986239122,986238343,xaime.mm@gmail.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
CesarBarcena,1,CesarBarcena,Cesar,"c,Lube,5-5?B",48903,,946558210,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"CISASNavarro,MoldesyMatrices.",1,Sr.Kiko,Esloan,"c,Fuster,40",43800,977609820,,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
COMAHER,1,Sr.SantiagoLopezdeArmentia,Eder,"C,Bekolarra,4",1010,945228883,945242400,santi@comaher.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"ComercialXAMER,S.L.",1,Sr.JavierFernandez,Xamer,"c,Sarries,s,n",31014,948124366,948129039,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"COMLANBER,S.A.",1,Sr.VicenteEscobar,Vanesa,"Zubiaurre,5",48250,946827999,946225036,lanber@euskalnet.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"Copreci,S.Coop.",1,"Roldan,JaimeGomez**,InakiAyastu,AsierAgirre**",Ander,"Avda.dealava,3",20550,943792349,943719499,aagirre@copreci.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",
"CREATECHMEDICAL,S.L.",1,"Sr.Mikel*****,Sr.Asier**,Olatz",Eder,Pol.Ind.Kurutz-Gain.Pab3B,20850,943755041,943757172,mgomez@createchmedical.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
CubiertosDalia,1,RafaMoreno,Vanesa,"C,Aldape,7",48300,946259116,946259100,info@cubiertos-dalia.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"CUPRUM,S.A.",1,Sr.GautierRebollo,Vanesa,Pol.Ind.ElCampillo.Pab11D-12D,48500,946360133,946360128,info@cuprum.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
CURVANORTE.S.L.,1,"Sr.FranciscoLezaunCastillo,Maria",Ander,Pol.Ind.Mendikur.Pab-20,31160,948321421,948343235,fran@curvanorte.e.telefonica.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
DECOMESA.DecoletadosyMecanizadosS.A.,1,Sr.PedroMariaRecalde,Vanesa,Pol.Ind.Goitondo,48269,943174353,943174304-08,comercial@decomesa.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"DELCAAlmacenes,S.A.",1,"Sr.GonzaloGonzalez,JoseRamon",Delca,"c,TeodoroCuesta,2",33207,985352440,985176111,delca@almacenesdelca.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"DELVAL,S.A.",1,"Sr.Secudino,MariSol",Vanesa,"Avda.deBilbao,118",39300,942893658,942890349,rdelval@rdelval.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
DHLExpress,1,Sr.JoseRobertoVazquez,Eder,,,,,joseroberto.vazquez@dhl.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"DIEXGA,S.L.",1,Sr.RamonLores,Eder,"c)Pereiro,10",36210,986211496,986235195,diexga@breogan.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"DIKAR,S.Coop",1,"Alberto,JoseLuis,Sr.Roberto,IVAN****",Eder,"UrarteKalea,26P.I.SanLorenzo",20570,943760814,943765548,ivan@dikar.es,roberto@dikar.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,
Dise?oLOGO2S.L.,1,Sr.FranciscoCastro,Eder,"VicenteAlonsoPerez,2B",3204,965446039,965445572,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"DISMAHER,S.L.",1,Sr.HerminioIglesiasAstorga,Dismaher,"Leceaga,6",48002,944270780,944275280,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
Dismodel,1,"Sr.JesusCerrillo,Sr.JavierGarcia****",Vanesa,"B?Larragoiti,s,n",48600,946763956,946763512,compras@dismodel.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"DISSIN,Dise?osIndustrialesSCCL",1,Sr.JoseAntonio(Esloan),Antonio Lopez,"Pol.Ind.Tosses2.C,Amsterdam,Par-35",43870,977708069,977708069,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"DOIKI,S.Coop.",1,"JavierVesga,AxierDiazdeGereno,Leyre",Vanesa,"Pol.Ind.Goitondo,5",48260,943174273,943179050,jilarra@doiki.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
DOILAN-TEGIAS.Coop.,1,Sr.EmilioTxurrukaUriarte,Ander,Pol.Ind.Intxausti.Pab.14I,20215,943802010,943801243,doilan@doilan.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
ECRIMESA,1,"Sr.JoseAntonioVargas,Oscar***,Loly",Vanesa,"Avda.deParayas,s,n",39080,942346549,942334511,ecrimesa@ecrimesa.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"EDERKI,S.L.",1,"Sr.MiguelAngel,JoseAngel",Ander,"C,Azpikoetxe,s,n",20230,943731411,943731411,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
EDERLANFAGORMCC,1,"Sr.SantiGarcia,Sr.AitorAspe",Ander,"B?Uribarri,6",20500,943719008,943719000,a.axpe@fagorederlan.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"EDURKON,S.L.",1,"GorkaEtxebarria,Arkaitz,Galder****",Vanesa,"TXORIERRI,46,Pabellon8E",48150,944710402,944711404,gorka@edurkon.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"EIKA,S.Coop.",1,Sr.JesusBereziartua,Vanesa,"Ctra.EtxebarriaaEibars,n",,,946167732,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
EKIMENmecanizadosS.L,1,"Sr.PatxiSegurola,Sta.Lore",Ander,P.Ind.JoxeMariKortaparcelaA-6-1,20750,943865279,943865288,ekimen@ekimen.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"ELAY,S.L.",1,"Bixente***,Nogales,AitorIbarra,Mikel,Unai***",Ander,"LizarragakoHiribideaZ,g",20577,943766262,943766100,fernando@elay.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"ElgezabalTalleres,S.L.",1,"Sta.Amaia***,Sr.Josu*****",Vanesa,"B?Trobika-MartintxoneBidea,13Apto126",48100,946744586,946741275,tde@euskalnet.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
EMECANMecanizados,1,"Sr.JoseLuisCanales,JoseLuisFernandez****",Vanesa,ZonaIndustrialLaAlbericia3-4,39012,942344125,942347799,emecan@emecan.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"EREDU,S.A.",1,"FelisindoCidMartinez****,Sofia,Ainoa,Davinia",Vanesa,Pol.Ind.Ugarte.Parcela3B,48110,946743233,946745002,tecnica@eredu.es,control@eredu.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,
ESLOANSuministrosIndustrialesS.L.,1,Sr.AntonioLopez,Antonio Lopez,"Avda.Cataluna,5",43514,977739069,977739061,lopezesquerre.toni@gmail.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
EUSKOCAMSYSTEMS.L,1,GaizkaAranzabal,Vanesa,"C,OidorBerriozabalbeitia,Pab.N?5",48230,946231754,946231754,euskocam@euskalnet.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"EUSKRON,S.A.",1,Sr.AvelinoGarcia,Eder,"Pol.Ind.Eleseder,4",31876,948510807,948510634,euskron@euskron.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"FAMECOMetalicas,S.L.",1,,Antonio Lopez,"Ctra.Ulldecona1169,Izda.NaveKm.2",43560,977575117,977570719,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
FAYMESA,1,Sr.JavierMoranCabrero,Vanesa,Pol.Ind.DeGuarnizo.Parcela83A,39611,942559141,942559544,faymesa@mundivia.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
FEM-EDER,1,Sr.Nebreda***,Vanesa,"Ctra.SanVicente,7",48510,944921552,944921858,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"FILIPMecanizados,S.L.",1,Sr.Javi,Vanesa,"C,Obezar,2",1138,945464143,945464143,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
FORJASDEIRAETAHEAVYINDUSTRYS.L.U,1,"Sr.IbonLasa,JuanluislasaLanda",Ander,"B?Chiriboga,s,n",20740,943148059,943147645,ibon@forjasdeiraeta.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"FORJASDEBERRIZ,S.L.",1,"Sr.UnaiAzueta***,KoldoIturriagaetxebarria",Vanesa,"Iturriza,22",48240,946826521,946826520,tecnica@forjasdeberriz.com,cad@forjasdeberriz.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,
"FranceTelecomEspa?a,S.A.",1,,Eder,"ParqueEmpresarialLaFinca.
P?delClubDeportivo,1-Edificio8",28223,,,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"Fresmak,ARNOLD",1,"XabierBerridi,JoseAntonioAyerbe****,Jon,Mikel",Ander,"ArabaKalea,45",20800,943830225,943834250,berridi@fresmak.com,jaierbe@fresmak.com,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",
